"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.685,0.698360215073505,0.186905983802218,0.484152194548489,1.00734230989563,0.739328657234349,0.141660503275959,0.560084669620222,0.975936127261944,0.724673364692265,0.18651489844174,0.502779558686349,1.04449649239224,0,0,0,0
"result.2","2",0.685,0.751984594403604,0.198666268131958,0.509449103172979,1.1099849360778,0.785495697978603,0.138111862426464,0.599212162881682,1.02969120081884,0.732444648080422,0.197721823312871,0.497130714511756,1.07914306407026,0,0,0,0
"result.3","3",0.685,0.71903906529313,0.154190007431296,0.531500040772185,0.972750964734591,0.749523965323948,0.128775612473962,0.582330462552689,0.96472056799554,0.742884670667598,0.162830665395204,0.539904734995973,1.02217594723821,0,0,0,0
"result.4","4",0.685,0.47629477971062,0.223288005337505,0.30747459230991,0.73780638418063,0.482578789616207,0.201509430942626,0.325117195004086,0.716302588008352,0.475266952540572,0.258683077256945,0.286247785929302,0.789101915474693,0,0,0,0
"result.5","5",0.685,0.579850573515249,0.209073022234972,0.384901445151012,0.873539686176155,0.553405070903272,0.199448725040849,0.374342341151787,0.818120577969232,0.497113649061192,0.312021709535627,0.269685406729149,0.916334269177285,0,0,0,0
"result.6","6",0.685,0.580306479693326,0.196113471158135,0.395113858911474,0.852300173174922,0.592939585921304,0.166829022209217,0.42756555923785,0.822277063613883,0.575950061316228,0.231806357498183,0.365651428019662,0.907198626097885,0,0,0,0
"result.7","7",0.685,0.628158812172643,0.19168900163232,0.431420208530069,0.914615230136222,0.616443680859125,0.17866485953031,0.43432097771114,0.874935430643372,0.560043762413732,0.227260904238757,0.358734856930153,0.874319876530976,0,0,0,0
"result.8","8",0.685,0.64365888385941,0.230732751636295,0.409498282488585,1.01171793994689,0.659401786878072,0.17415570786682,0.468711693339481,0.92767200544977,0.58412058473091,0.273988231174623,0.341412187772511,0.999369295315626,0,0,0,0
"result.9","9",0.685,0.663743872568093,0.179927750814032,0.46649063701669,0.944404653411998,0.684049004687634,0.155248909445841,0.504587718496086,0.927337356146477,0.709603466654336,0.203628558671213,0.476084015282946,1.05766432756325,0,0,0,0
"result.10","10",0.685,0.370316484381437,0.378911752873231,0.176212555416751,0.778232279080784,0.419754236108181,0.283440445122834,0.240838387063485,0.731584449136498,0.358768355513233,0.406090707208695,0.161861194654549,0.795216748476235,0,0,0,0
"result.11","11",0.685,0.649041997640638,0.187845705901482,0.449133352419586,0.93792970936571,0.661132136544056,0.160945561180284,0.482268215975147,0.906333213536579,0.618205890922974,0.208071686957725,0.4111676555517,0.929495592397865,0,0,0,0
"result.12","12",0.685,0.692215660116169,0.180965838938714,0.485512245717564,0.986921595359319,0.720893464909053,0.146442415572932,0.541024320020236,0.960561972018453,0.749444008178288,0.194740815961498,0.511649392348836,1.09775625612666,0,0,0,0
"result.13","13",0.685,0.63439732037111,0.208140068286098,0.421879999655522,0.953967859160581,0.66232027394839,0.175797689468507,0.469273505145188,0.934781402473066,0.657176141608987,0.233831509942243,0.415566364235692,1.03925754889809,0,0,0,0
"result.14","14",0.685,0.69896840361128,0.120294788406747,0.552154420071725,0.884819194571398,0.714765180480479,0.109087375026946,0.577173442422111,0.885157260672532,0.765889743740309,0.134098380434551,0.588869970459424,0.996123302244389,0,0,0,0
"result.15","15",0.685,0.726593455316833,0.16563314967184,0.525172163399315,1.00526662702767,0.736555537876443,0.146231217160189,0.553007439971835,0.981024885314539,0.696125441878858,0.202607691328215,0.467976837268005,1.0355013159626,0,0,0,0
"result.16","16",0.685,0.637396369633477,0.247724752571776,0.392231093898631,1.03580297009021,0.630945139510708,0.201004212750593,0.425493920337148,0.935599194359234,0.562853203721416,0.321035956650474,0.300001771522197,1.05600619400349,0,0,0,0
"result.17","17",0.685,0.498328981456344,0.285103243712661,0.284991144135817,0.87136663320658,0.498287248200728,0.219421023837625,0.324119251296318,0.766045770889619,0.419313938544278,0.340537130454988,0.215113784925784,0.817354309107506,0,0,0,0
"result.18","18",0.685,0.375955999122493,0.331673053015593,0.196250701076633,0.720216093500732,0.567899148128563,0.152051880967553,0.421543156519866,0.765068623359204,0.525017934856556,0.232829465412258,0.332648597964285,0.828633680129436,0,0,0,0
"result.19","19",0.685,0.693911701974479,0.164989646514711,0.502183210697943,0.958840199910114,0.711321473290727,0.142027586574888,0.538480024065073,0.939641612969743,0.66355375152175,0.195192039307677,0.452611193994844,0.972807537684549,0,0,0,0
"result.20","20",0.685,0.514630257690883,0.238930140426893,0.3221913492414,0.822009351754976,0.490661709871973,0.218744937855775,0.319582299865114,0.753323677926159,0.412007744231944,0.322249594877051,0.219079119295308,0.774835967266601,0,0,0,0
