"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.685,0.725684479190244,0.0483586373442932,0.66006108878147,0.797832158701854,0.726448124079947,0.0471975264419432,0.662261122730706,0.79685619292175,0.721918767061404,0.0493242130533169,0.655394381750778,0.795195565825948,0,0,0,0
"result.2","2",0.685,0.671644337454788,0.0564313392754681,0.601317761251519,0.750195894922839,0.67323517432742,0.0545697874490562,0.604945231204366,0.749234106779086,0.67368204184279,0.0580181937509459,0.601269102271265,0.754815924828141,0,0,0,0
"result.3","3",0.685,0.717616113967698,0.0440562678232186,0.658249791034911,0.782336575020331,0.719146952482775,0.043216251835053,0.660740957231774,0.782715727858004,0.732329009907469,0.0447955147469474,0.670772927873239,0.799534024803999,0,0,0,0
"result.4","4",0.685,0.759131992821029,0.0453111503768097,0.69462060965222,0.829634730839556,0.761188632328881,0.0443775207410452,0.697778181546883,0.830361494969991,0.764645613206812,0.0458478288373527,0.698930095826016,0.83653990189881,0,0,0,0
"result.5","5",0.685,0.644390556118771,0.0632515659815771,0.569256957198856,0.729440692052895,0.645328742551236,0.0609788710029695,0.572630855667507,0.727255930834029,0.647198561856323,0.0654885403801195,0.569236280985333,0.735838512864722,0,0,0,0
"result.6","6",0.685,0.740276650596006,0.0444876588300961,0.678461786536558,0.807723486115768,0.741515676951383,0.0435369211053056,0.68086492482527,0.807569136133388,0.735556275471882,0.045195450164981,0.673201013632987,0.803687195101328,0,0,0,0
"result.7","7",0.685,0.671496739556361,0.0549946129357327,0.602880932768323,0.747921930727405,0.672874154874417,0.0538458551160618,0.605479341823337,0.747770562963425,0.676248967656715,0.0558091327076269,0.606179049398001,0.754418462186927,0,0,0,0
"result.8","8",0.685,0.685659005397488,0.0531155843722209,0.617867406650589,0.760888609145451,0.687032580987744,0.05165086022326,0.620885093430396,0.760227250312614,0.678778197771607,0.0542543623041369,0.610303188457766,0.754935989986155,0,0,0,0
"result.9","9",0.685,0.679861479335922,0.0538151531923479,0.611803633237916,0.755490170332291,0.681363105224176,0.0522707010433843,0.615013847718682,0.754870289315974,0.679695930534002,0.05512279708044,0.61008900411365,0.757244524765147,0,0,0,0
"result.10","10",0.685,0.67099971983881,0.0563877349169816,0.600791984514234,0.749411835758429,0.672816121088425,0.0549101161630916,0.60416554522622,0.74926737609139,0.680625178545248,0.0574899718461635,0.608095177219423,0.761806130066696,0,0,0,0
"result.11","11",0.685,0.676719586748678,0.0511490963253587,0.612166778043148,0.748079470358034,0.677884027131632,0.0497538364514889,0.614899415523573,0.74732020008333,0.675682813721975,0.0522686131249991,0.609889183172648,0.748574130113742,0,0,0,0
"result.12","12",0.685,0.701644626121692,0.049900806783652,0.636269021672407,0.773737467323876,0.703667904832419,0.0487693149016131,0.639520490256091,0.774249657103196,0.705119597640231,0.0506407751459217,0.638493510133156,0.778698043262229,0,0,0,0
"result.13","13",0.685,0.701181458749105,0.0509284297049944,0.634569609197333,0.774785667273631,0.701809383824955,0.0495819158119574,0.636816330703128,0.773435584921226,0.700704100989204,0.0521373902685888,0.632636750234079,0.776095029195539,0,0,0,0
"result.14","14",0.685,0.701590344491091,0.0512936766608545,0.634485270523572,0.775792653274589,0.703352697722338,0.0500981607578059,0.637571274961605,0.775921119443597,0.699302188125941,0.052023945778014,0.631511422809627,0.774370078916447,0,0,0,0
"result.15","15",0.685,0.705255130225276,0.0495096550973043,0.640033616144863,0.777122929425155,0.706503897822905,0.048330285151116,0.642650711892953,0.776701477803857,0.70525277743528,0.0502919800124648,0.639050836325392,0.778312853700608,0,0,0,0
"result.16","16",0.685,0.733422555849944,0.0471302381758655,0.668707499152077,0.804400498142361,0.734329709303569,0.0463744613587021,0.670527139712761,0.804203275346713,0.73769399810474,0.0475036574999419,0.672109943271938,0.809677702714143,0,0,0,0
"result.17","17",0.685,0.67471543165741,0.0552485036626663,0.605469355863296,0.751881014799749,0.676244343229733,0.0540397645131826,0.60828074483797,0.751801558130904,0.673481579300715,0.0560848582578687,0.603372241741505,0.751737329427403,0,0,0,0
"result.18","18",0.685,0.626477216523592,0.0576823980148354,0.55950636688361,0.701464229994708,0.627767582211046,0.0562447560385893,0.562240831616687,0.700931193741153,0.621032466338529,0.0588498783572174,0.553375945537623,0.696960768455183,0,0,0,0
"result.19","19",0.685,0.650495371468591,0.0563532241722016,0.582472435450713,0.726462236748825,0.652545300847597,0.0546745833149501,0.58623362058878,0.72635781146536,0.65824955426161,0.0578879607865973,0.587645407826376,0.737336614759402,0,0,0,0
"result.20","20",0.685,0.718462257496815,0.0522856249765134,0.648481418049271,0.795995075695754,0.71991351482668,0.0506283266443767,0.651905469689224,0.795016291360734,0.717932853884899,0.0536854436250621,0.646228125506442,0.797593856323386,0,0,0,0
"result.21","21",0.685,0.659912301944342,0.0501557230688978,0.598126178862191,0.728080899394669,0.66253439993498,0.0488290190334285,0.602066318966283,0.729075547442782,0.666494946439975,0.0509372055632651,0.603167921323842,0.736470720550015,0,0,0,0
"result.22","22",0.685,0.574339338020867,0.064847057583861,0.505789295241486,0.652180024966236,0.575307919176008,0.0630713432687612,0.508408661659446,0.65101015546492,0.575852240873603,0.066276153473924,0.505703151851555,0.655732126851545,0,0,0,0
