"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","sshal","sshal_se","sshal_lower","sshal_upper"
"result.28","28",0.686,0.667958211913861,0.0239498451130651,0.621016515492253,0.714899908335469,0.671606131948578,0.0238801816844064,0.624800975847141,0.718411288050014,0.66496353339794,0,0,0,0
"result.29","29",0.686,0.685892392097771,0.0241934403308066,0.63847324904939,0.733311535146152,0.689997864565834,0.0241181842187877,0.64272622349701,0.737269505634658,0.680616470500302,0,0,0,0
"result.30","30",0.686,0.73419164493788,0.0253679516665811,0.684470459671381,0.783912830204379,0.73372066603675,0.025193543623092,0.68434132053549,0.783100011538011,0.722711209451285,0,0,0,0
"result.31","31",0.686,0.678649108473282,0.0240509952535909,0.631509157776244,0.72578905917032,0.680469304509568,0.0237579059356525,0.633903808875689,0.727034800143447,0.661013603016132,0,0,0,0
"result.32","32",0.686,0.694012074577951,0.0241197457312039,0.646737372944791,0.74128677621111,0.695484479182704,0.0239155255430869,0.648610049118253,0.742358909247154,0.681383827293157,0,0,0,0
"result.33","33",0.686,0.682719213983395,0.0240869579396474,0.635508776421686,0.729929651545104,0.687372073613958,0.0239810364578222,0.640369242156627,0.73437490507129,0.678107089232286,0,0,0,0
"result.34","34",0.686,0.662779418577143,0.0235931950134144,0.616536756350851,0.709022080803435,0.666032164108079,0.0234165999447516,0.620135628216366,0.711928699999792,0.65379580905762,0,0,0,0
"result.35","35",0.686,0.660171708956425,0.0236670890637478,0.613784214391479,0.70655920352137,0.664070674390929,0.023600578118248,0.617813541279163,0.710327807502695,0.655888266296274,0,0,0,0
"result.36","36",0.686,0.660085156259466,0.0236671532697762,0.613697535850705,0.706472776668227,0.662455379225356,0.0235919044578013,0.616215246488065,0.708695511962647,0.654775315976711,0,0,0,0
"result.37","37",0.686,0.685312131891312,0.0240598385823945,0.638154848269818,0.732469415512805,0.68840344557696,0.0239614976979216,0.641438910089034,0.735367981064887,0.679230340936752,0,0,0,0
"result.38","38",0.686,0.678601104028685,0.0239899849229815,0.631580733579641,0.725621474477729,0.681921429640002,0.0238504199921597,0.635174606455369,0.728668252824635,0.669767103608592,0,0,0,0
"result.39","39",0.686,0.65246078360649,0.0234473348857218,0.606504007230476,0.698417559982505,0.661179550761127,0.0234572806327132,0.61520328072101,0.707155820801245,0.654482718296253,0,0,0,0
"result.40","40",0.686,0.702287294260712,0.0245045396016982,0.654258396641384,0.750316191880041,0.707381107185987,0.0244746150850565,0.659410861619276,0.755351352752698,0.699673435117905,0,0,0,0
"result.41","41",0.686,0.678705515694989,0.0241404209991206,0.631390290536713,0.726020740853266,0.682055104019459,0.0240056940641925,0.635003943653641,0.729106264385276,0.671338736662333,0,0,0,0
"result.42","42",0.686,0.72429545878758,0.024533923837963,0.676208968065172,0.772381949509987,0.727306201265365,0.0245049393874416,0.679276520065979,0.77533588246475,0.721300960160681,0,0,0,0
"result.43","43",0.686,0.660498255325604,0.0234712281363956,0.614494648178268,0.706501862472939,0.66366512082873,0.0233882473945306,0.61782415593545,0.70950608572201,0.655341908623422,0,0,0,0
"result.44","44",0.686,0.675621689490882,0.023730666954468,0.629109582260124,0.722133796721639,0.677918281639492,0.0236183562036464,0.631626303480345,0.724210259798639,0.668857296367933,0,0,0,0
"result.45","45",0.686,0.620245373133949,0.0230866553812686,0.574995528586663,0.665495217681235,0.625722107646355,0.0230528214743418,0.580538577556645,0.670905637736065,0.61808495095414,0,0,0,0
"result.46","46",0.686,0.656240942033777,0.0234296904111211,0.61031874882798,0.702163135239575,0.660276905478127,0.0233655011083057,0.614480523305848,0.706073287650407,0.653319913945044,0,0,0,0
"result.47","47",0.686,0.700538253505968,0.0246531809843682,0.652218018776607,0.74885848823533,0.702710374593999,0.0244733387617858,0.654742630620899,0.750678118567099,0.690688247295564,0,0,0,0
"result.48","48",0.686,0.702060075831611,0.0244696071539378,0.654099645809893,0.75002050585333,0.707837528441181,0.0244373519614249,0.659940318596788,0.755734738285574,0.700342015540164,0,0,0,0
"result.49","49",0.686,0.647743083609572,0.0235641946320201,0.601557262130813,0.693928905088332,0.651584720529602,0.0235196515478265,0.605486203495862,0.697683237563342,0.643551362055399,0,0,0,0
"result.50","50",0.686,0.725971882756566,0.0248954500252163,0.677176800707141,0.77476696480599,0.728202735978111,0.0247605770601297,0.679672004940257,0.776733467015965,0.716879029186093,0,0,0,0
"result.51","51",0.686,0.653521619761207,0.0236426911773598,0.607181945053582,0.699861294468832,0.658120805279471,0.0235177496253966,0.612026016013694,0.704215594545249,0.647687908573455,0,0,0,0
"result.52","52",0.686,0.698304541920279,0.0243668720047084,0.65054547279105,0.746063611049507,0.703517893840195,0.0243401415371691,0.655811216427344,0.751224571253047,0.696879845802006,0,0,0,0
