"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.685,0.718684156644565,0.106805286666169,0.509345794778873,0.928022518510256,0.749772832558951,0.109227259557175,0.535687403826889,0.963858261291013,0.731902811040833,0.110558382212154,0.515208381905011,0.948597240176655,0,0,0,0
"result.2","2",0.685,0.833513410250444,0.118611028158092,0.601035795060585,1.0659910254403,0.885609045067418,0.118072942384037,0.654186077994705,1.11703201214013,0.910680486561303,0.118023683984371,0.679354065951935,1.14200690717067,0,0,0,0
"result.3","3",0.685,0.731127458474883,0.117189315075956,0.501436400926008,0.960818516023757,0.748496225948952,0.116911727257268,0.519349240524706,0.977643211373198,0.748493051533638,0.117172509093103,0.518834933711156,0.97815116935612,0,0,0,0
"result.4","4",0.685,0.644102202582932,0.0999057953005175,0.448286843793918,0.839917561371947,0.703478255007069,0.101092221087202,0.505337501676154,0.901619008337984,0.713466701728262,0.126259933041158,0.465997232967592,0.960936170488933,0,0,0,0
"result.5","5",0.685,0.787078561831993,0.115916678286946,0.559881872389579,1.01427525127441,0.776922875774393,0.117267814654125,0.547077959052308,1.00676779249648,0.776908015008812,0.117878855628747,0.545865457976468,1.00795057204116,0,0,0,0
"result.6","6",0.685,0.631006136364592,0.102962890070027,0.429198871827339,0.832813400901844,0.644642475184331,0.103009056080582,0.442744725266391,0.846540225102271,0.643294757306796,0.103141818470796,0.441136793104036,0.845452721509555,0,0,0,0
"result.7","7",0.685,0.697230551747342,0.108585385561663,0.484403196046484,0.910057907448201,0.672771390307419,0.105608269055151,0.465779182959323,0.879763597655516,0.667274948904621,0.105134623717044,0.461211086419216,0.873338811390027,0,0,0,0
"result.8","8",0.685,0.628413403642269,0.113649529744968,0.405660325342132,0.851166481942406,0.770031692306068,0.151189512346757,0.473700248106424,1.06636313650571,0.754924366605956,0.297592107382219,0.171643836136806,1.33820489707511,0,0,0,0
"result.9","9",0.685,0.805357870033103,0.117664172982413,0.574736090987574,1.03597964907863,0.805075697060256,0.11880076431646,0.572226198999994,1.03792519512052,0.798957973593917,0.119452138997573,0.564831781158675,1.03308416602916,0,0,0,0
"result.10","10",0.685,0.886548157449736,0.123421539377572,0.644641940269695,1.12845437462978,0.941334226859464,0.124667585123703,0.696985760017006,1.18568269370192,0.941088827165573,0.12867818341165,0.688879587678739,1.19329806665241,0,0,0,0
"result.11","11",0.685,0.704264654607552,0.105422158468214,0.497637224009851,0.910892085205252,0.722341904970234,0.110298153766751,0.506157523587403,0.938526286353066,0.720271157863672,0.110351922344001,0.50398139006943,0.936560925657914,0,0,0,0
"result.12","12",0.685,0.721778502239477,0.103550589470227,0.518819346877833,0.924737657601121,0.777376116335343,0.108541813096482,0.56463416266624,0.990118070004447,0.78375162277535,0.11088049751504,0.56642584764587,1.00107739790483,0,0,0,0
"result.13","13",0.685,0.598358620674681,0.0985384561528144,0.405223246615165,0.791493994734197,0.571475025562134,0.0964035815495371,0.382524005725041,0.760426045399226,0.571340925756767,0.0973782365528459,0.380479582113189,0.762202269400345,0,0,0,0
"result.14","14",0.685,0.984968281564275,0.128007570909586,0.734073442581488,1.23586312054706,1.02457625033468,0.128757970399954,0.772210628350772,1.27694187231859,1.01838786003839,0.130641521348064,0.762330478196187,1.2744452418806,0,0,0,0
"result.15","15",0.685,0.50290056033459,0.0944761126029799,0.317727379632749,0.68807374103643,0.512458636377752,0.0961150491749747,0.324073139994801,0.700844132760702,0.512031153968185,0.103615728123235,0.308944326846645,0.715117981089725,0,0,0,0
"result.16","16",0.685,0.816451646661931,0.112793516585909,0.59537635415355,1.03752693917031,0.850650275381235,0.118988881531579,0.617432067579341,1.08386848318313,0.897913675039597,0.124964405609663,0.652983440044657,1.14284391003454,0,0,0,0
"result.17","17",0.685,0.66751908022871,0.104561968413291,0.46257762213866,0.87246053831876,0.670565877167215,0.106617455711995,0.461595663971705,0.879536090362724,0.682586660895817,0.109068154816024,0.46881307745641,0.896360244335224,0,0,0,0
"result.18","18",0.685,0.680363307689078,0.105622939433179,0.473342346400048,0.887384268978109,0.720007334264745,0.106010344222305,0.512227059589027,0.927787608940463,0.715165087337337,0.107804128005232,0.503868996447082,0.926461178227592,0,0,0,0
"result.19","19",0.685,0.668166213075259,0.111756592016196,0.449123292723514,0.887209133427004,0.65468340007332,0.10992675141756,0.439226967294902,0.870139832851738,0.655535159039673,0.109550699838026,0.440815787357142,0.870254530722204,0,0,0,0
"result.20","20",0.685,0.633961458341512,0.0996861119210447,0.438576678976264,0.82934623770676,0.685503710588848,0.103631904832733,0.482385177116691,0.888622244061004,0.661118739000668,0.106930354677324,0.451535243833113,0.870702234168224,0,0,0,0
"result.21","21",0.685,0.523424111245884,0.091196895502967,0.344678196060069,0.702170026431699,0.553204348499609,0.0941156532075817,0.368737668212749,0.737671028786469,0.568505374294903,0.0978342413681664,0.376750261213297,0.76026048737651,0,0,0,0
"result.22","22",0.685,0.761794422486449,0.116279427842793,0.533886743914575,0.989702101058322,0.763481006909344,0.117142966560428,0.533880792450905,0.993081221367782,0.767172138808244,0.116040511012628,0.539732737223493,0.994611540392995,0,0,0,0
"result.23","23",0.685,0.597896549520701,0.100851962997193,0.400226702046203,0.795566396995199,0.694242703381172,0.11002726524974,0.478589263491682,0.909896143270663,0.690426569296574,0.118792832994581,0.457592616627196,0.923260521965952,0,0,0,0
"result.24","24",0.685,0.692204226331559,0.10973058979793,0.477132270327615,0.907276182335502,0.739341220650408,0.114299388416473,0.515314419354122,0.963368021946694,0.741363053608438,0.119711391714324,0.506728725848362,0.975997381368513,0,0,0,0
"result.25","25",0.685,0.763259915993915,0.106478288108759,0.554562471300748,0.971957360687083,0.784140479578562,0.107023250646378,0.574374908311661,0.993906050845464,0.782678716392795,0.109206197398185,0.568634569492351,0.996722863293238,0,0,0,0
"result.26","26",0.685,0.71179332770135,0.109604757937667,0.496968002143522,0.926618653259178,0.701622315765668,0.10806197730849,0.489820840241029,0.913423791290308,0.701627215313403,0.106751320062276,0.492394627991341,0.910859802635464,0,0,0,0
"result.27","27",0.685,0.678623688228924,0.105302063570156,0.472231643631418,0.88501573282643,0.7191254271368,0.110966291777166,0.501631495253554,0.936619359020046,0.718454919922389,0.128600288670363,0.466398354128477,0.9705114857163,0,0,0,0
"result.28","28",0.685,0.608208885717327,0.0974572837619027,0.417192609543998,0.799225161890656,0.649737922862675,0.100294897088983,0.453159924568268,0.846315921157083,0.63755446782141,0.101095314330552,0.439407651733527,0.835701283909292,0,0,0,0
"result.29","29",0.685,0.780457829826073,0.117237115838219,0.550673082783164,1.01024257686898,0.878979038966721,0.122450659266985,0.638975746803431,1.11898233113001,0.887116368224717,0.134243135807026,0.623999822042947,1.15023291440649,0,0,0,0
"result.30","30",0.685,0.653263086993906,0.106191324466247,0.445128091040063,0.861398082947749,0.747293714095147,0.113382938241472,0.525063155141861,0.969524273048433,0.722453504417896,0.117067866549308,0.493000485981252,0.95190652285454,0,0,0,0
"result.31","31",0.685,0.92589310672168,0.130829317061396,0.669467645281344,1.18231856816202,0.976673838632485,0.130517669374023,0.720859206659401,1.23248847060557,0.968675573917698,0.131961558176546,0.710030919891669,1.22732022794373,0,0,0,0
"result.32","32",0.685,0.692993344146991,0.107016228799023,0.483241535700906,0.902745152593077,0.786345987004486,0.114743841287874,0.561448058080254,1.01124391592872,0.787259771523675,0.118888614541032,0.554238087023252,1.0202814560241,0,0,0,0
