"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.728486158282384,0.0806080676795142,0.570494345630537,0.886477970934232,0.739457310983473,0.0764752760582937,0.589565769909217,0.889348852057729,0.653930306716898
"result.2","2",0.686,0.695663957679675,0.0804755190705282,0.53793194030144,0.85339597505791,0.696659808731484,0.0801795808756307,0.539507830215248,0.85381178724772,0.690245118921075
"result.3","3",0.686,0.58571372065168,0.0707809802134964,0.446982999433227,0.724444441870133,0.592993855354554,0.0702842954549729,0.455236636262807,0.730751074446301,0.577063269783163
"result.4","4",0.686,0.809686959878189,0.0811056033436171,0.650719977324699,0.968653942431678,0.816669211732347,0.0794677400993801,0.660912441137562,0.972425982327132,0.775163515233802
"result.5","5",0.686,0.709517840513058,0.0850558678140757,0.54280833959747,0.876227341428646,0.707177279688084,0.085056100187232,0.540467323321109,0.873887236055059,0.709485156341603
"result.6","6",0.686,0.705395830452151,0.0767024477446001,0.555059032872735,0.855732628031567,0.713055212733293,0.0761444225468045,0.563812144541557,0.86229828092503,0.694752015545458
"result.7","7",0.686,0.597721384877081,0.0713704256767965,0.45783535055056,0.737607419203602,0.603807373864506,0.0700604308431958,0.466488929411843,0.74112581831717,0.575898043384829
"result.8","8",0.686,0.717163576156742,0.0732949716971246,0.573505431630377,0.860821720683106,0.717236400075895,0.0703084565365298,0.579431825264297,0.855040974887494,0.655557163397381
"result.9","9",0.686,0.506595975986871,0.0668353491183414,0.375598691714922,0.63759326025882,0.511881305743628,0.0665885480764107,0.381367751513863,0.642394859973393,0.502529902041851
"result.10","10",0.686,0.702112769111507,0.0799298174566183,0.545450326896535,0.858775211326479,0.708112046913026,0.0793566743916533,0.552572965105385,0.863651128720667,0.691337203410069
"result.11","11",0.686,0.716444560285835,0.0771213649306127,0.565286685021834,0.867602435549836,0.725330443831507,0.0768557132506245,0.574693245860283,0.875967641802731,0.711313756415183
"result.12","12",0.686,0.624604676820045,0.0737791742825581,0.479997495226232,0.769211858413859,0.639157011703009,0.0706631535725579,0.500657230700796,0.777656792705222,0.579267051893602
"result.13","13",0.686,0.729704581466862,0.0807347907091061,0.571464391677014,0.88794477125671,0.746324205287941,0.0772817602626673,0.594851955173113,0.897796455402769,0.674265543181388
"result.14","14",0.686,0.573047693091295,0.0709603451899492,0.433965416518994,0.712129969663595,0.57729362292948,0.0706954453900677,0.438730549964947,0.715856695894012,0.568659175101982
"result.15","15",0.686,0.777997823275837,0.083608285622472,0.614125583455792,0.941870063095883,0.784548443748082,0.0812501388782494,0.625298171546714,0.943798715949451,0.731168562866319
"result.16","16",0.686,0.668314777864644,0.0763921086774399,0.518586244856862,0.818043310872426,0.665932126297839,0.0763923486772428,0.516203122890443,0.815661129705235,0.668318646641679
"result.17","17",0.686,0.657720073349763,0.0756367942954183,0.509471956530743,0.805968190168783,0.666858802108036,0.0734469572219272,0.522902765953059,0.810814838263014,0.620996152663964
"result.18","18",0.686,0.752748710083444,0.0815735667429104,0.59286451926734,0.912632900899549,0.760634500319311,0.0804100789361114,0.603030745604533,0.91823825503409,0.730860593704368
"result.19","19",0.686,0.74772252965214,0.0801522056042765,0.590624206667758,0.904820852636522,0.76135015116689,0.0768100483760506,0.610802456349831,0.911897845983949,0.689775370850152
"result.20","20",0.686,0.734153153138561,0.0842946757313958,0.568935588705025,0.899370717572097,0.741959944734689,0.0834289095766864,0.578439281964383,0.905480607504994,0.718025675600147
"result.21","21",0.686,0.677038192234267,0.0829345858874867,0.514486403894793,0.839589980573741,0.683908175609104,0.0812633099479363,0.524632088111149,0.84318426310706,0.650093516387673
"result.22","22",0.686,0.58440433554757,0.0686339024669466,0.449881886712355,0.718926784382785,0.592043593852867,0.0669058458774295,0.460908135933105,0.723179051772629,0.554439154186466
"result.23","23",0.686,0.736293595228408,0.0802518188736213,0.57900003023611,0.893587160220705,0.741629496330365,0.079664287145891,0.585487493524418,0.897771499136311,0.725227501154459
"result.24","24",0.686,0.68445509169163,0.0729740049047026,0.541426042078413,0.827484141304847,0.691832907009751,0.0722544158131714,0.550214252015935,0.833451562003567,0.670264143517125
