"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss"
"result.1","1",0.686,0.651729044473722,0.0333712764222846,0.586321342686044,0.7171367462614,0.646736887476548,0.0333487567737423,0.581373324200013,0.712100450753083,0.646753552148099
"result.2","2",0.686,0.767357642681824,0.0367184392643273,0.695389501723743,0.839325783639906,0.760024347738196,0.0367898391724608,0.687916262960173,0.832132432516219,0.761866488811107
"result.3","3",0.686,0.759966561616577,0.0364943833749093,0.688437570201754,0.831495553031399,0.75604747986881,0.0364390252437482,0.684626990391064,0.827467969346557,0.756900435123825
"result.4","4",0.686,0.713034727106113,0.0352910588259368,0.643864251807277,0.782205202404949,0.709190692309141,0.0353009997461444,0.640000732806698,0.778380651811584,0.70918689835372
"result.5","5",0.686,0.687643979979216,0.0351228967493337,0.618803102350522,0.75648485760791,0.67958814778616,0.0347832147815424,0.611413046814336,0.747763248757983,0.679531070948342
"result.6","6",0.686,0.640153390656667,0.0331633883680518,0.575153149455286,0.705153631858048,0.63765413821022,0.0332930424420211,0.572399775023859,0.702908501396581,0.637194030029362
"result.7","7",0.686,0.689730177353026,0.034214054150289,0.622670631218459,0.756789723487592,0.689752982931246,0.0340284652263717,0.623057191087557,0.756448774774934,0.689022796653995
"result.8","8",0.686,0.677934504229283,0.0340024327562427,0.611289736027047,0.744579272431518,0.673550870484307,0.0338344091158369,0.607235428617267,0.739866312351347,0.673529961473825
"result.9","9",0.686,0.714226820897258,0.0347722179461358,0.646073273722831,0.782380368071684,0.707356367944192,0.0347023125187197,0.639339835407501,0.775372900480882,0.707360212118391
"result.10","10",0.686,0.68532638533503,0.0345864503835758,0.617536942583221,0.753115828086838,0.688532311012325,0.0344946627543926,0.620922772013715,0.756141850010934,0.688100346553018
"result.11","11",0.686,0.664522787632247,0.0330926381412052,0.599661216875485,0.729384358389009,0.659209203567957,0.0330072493870657,0.594514994769308,0.723903412366605,0.659209203567956
"result.12","12",0.686,0.697518023918366,0.0346611740467247,0.629582122786786,0.765453925049947,0.693965347475083,0.0346124192269104,0.626125005790339,0.761805689159827,0.690479680851996
"result.13","13",0.686,0.718947483915894,0.0358089425337515,0.648761956549742,0.789133011282047,0.710833810422731,0.0355250435711677,0.641204725023242,0.780462895822219,0.710833810422731
"result.14","14",0.686,0.667875281117164,0.0329939923365051,0.603207056137614,0.732543506096714,0.657930720254493,0.0329182998559127,0.593410852536904,0.722450587972082,0.657943577285135
"result.15","15",0.686,0.720155603507801,0.0351025209615035,0.651354662423254,0.788956544592347,0.719458864875937,0.0351532422022522,0.650558510159523,0.788359219592352,0.719474658237452
"result.16","16",0.686,0.659980317885767,0.0344188259613425,0.592519419001536,0.727441216769999,0.659137367359356,0.034290890491271,0.591927221996465,0.726347512722247,0.65913344731821
"result.17","17",0.686,0.706643515729789,0.0343821364129407,0.639254528360425,0.774032503099153,0.704990181580387,0.0342428822048139,0.637874132458952,0.772106230701822,0.70394283193672
"result.18","18",0.686,0.756729818222282,0.0368444432074065,0.684514709535765,0.828944926908799,0.751986269851191,0.0367755204321375,0.679906249804201,0.82406628989818,0.751981510788508
"result.19","19",0.686,0.733589819708753,0.0349309360360871,0.665125185078022,0.802054454339484,0.734088456338115,0.0350314586226248,0.665426797437771,0.80275011523846,0.732258054862295
"result.20","20",0.686,0.668343058278551,0.0337973745213657,0.602100204216674,0.734585912340428,0.668011862534019,0.0336571093741361,0.602043928160712,0.733979796907326,0.668917799356493
"result.21","21",0.686,0.677395055974084,0.0349208484352452,0.608950193041004,0.745839918907165,0.668666267196991,0.0350911831204265,0.599887548280955,0.737444986113027,0.668614355673104
"result.22","22",0.686,0.736774710726654,0.0352801719113819,0.667625573780345,0.805923847672962,0.731569577290361,0.035289547111062,0.66240206495268,0.800737089628043,0.731556621623329
"result.23","23",0.686,0.67580768150677,0.0344678417568737,0.608250711663297,0.743364651350242,0.667129324861787,0.0342149890462031,0.600067946331229,0.734190703392345,0.667131133852553
"result.24","24",0.686,0.691461097331167,0.0376505706235163,0.617665978909075,0.765256215753259,0.699087831495327,0.0410766108830429,0.618577674164563,0.779597988826091,0.693340785585289
"result.25","25",0.686,0.713314586430897,0.0352461946255298,0.644232044964859,0.782397127896935,0.718914406642369,0.0353501460290132,0.649628120425503,0.788200692859235,0.716689734041849
"result.26","26",0.686,0.65740111987017,0.0344806011249048,0.589819141665356,0.724983098074983,0.658729522052402,0.0347785695010668,0.590563525830311,0.726895518274493,0.658753228255485
"result.27","27",0.686,0.681116939008228,0.034238437075905,0.614009602339455,0.748224275677002,0.678591122378547,0.0344146656201214,0.611138377763109,0.746043866993985,0.678481589417728
"result.28","28",0.686,0.693955519431015,0.0347991927368261,0.625749101666836,0.762161937195194,0.692165832978386,0.034756348369765,0.624043390173647,0.760288275783125,0.692031397024722
"result.29","29",0.686,0.668174876325238,0.0347740975533687,0.600017645120635,0.736332107529841,0.670321031394741,0.0343819877801797,0.602932335345589,0.737709727443893,0.669264855544549
"result.30","30",0.686,0.701812239337694,0.0349817551342433,0.633247999274577,0.77037647940081,0.684906847039268,0.0347769493213422,0.616744026369437,0.753069667709098,0.684888135509184
"result.31","31",0.686,0.744187641966039,0.0358512687297405,0.673919155255748,0.814456128676331,0.743730746475803,0.0358124103269553,0.67353842223497,0.813923070716635,0.741914686210487
"result.32","32",0.686,0.692295436886748,0.0351504608468344,0.623400533626952,0.761190340146543,0.685484254306918,0.0347253408485772,0.617422586243707,0.75354592237013,0.683681741087491
"result.33","33",0.686,0.702971394586748,0.0347497971556658,0.634861792161643,0.771080997011854,0.697060315896207,0.0346049562619765,0.629234601622733,0.764886030169681,0.697724945042048
"result.34","34",0.686,0.714821403214826,0.0347863146508933,0.646640226499075,0.783002579930577,0.706300399340781,0.0345725190557753,0.638538261991462,0.774062536690101,0.706269948295973
"result.35","35",0.686,0.687553664152573,0.0335665693815384,0.621763188164758,0.753344140140388,0.683849436687127,0.0335429009585399,0.618105350808389,0.749593522565865,0.682872820101585
"result.36","36",0.686,0.66887749508101,0.0341047619400818,0.602032161678449,0.73572282848357,0.671706624465002,0.0339794584086245,0.605106885984098,0.738306362945905,0.670873875467049
