"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.1","1",0.686,0.67748124533698,0.0765148554743424,0.527512128607269,0.827450362066691,0.70129111892969,0.0793265183302947,0.545811143002312,0.856771094857067
"result.2","2",0.686,0.669912340773289,0.0790395971551508,0.514994730349193,0.824829951197384,0.705616478980029,0.084470871227244,0.54005357137463,0.871179386585427
"result.3","3",0.686,0.656642490350624,0.0768491473123451,0.506018161618428,0.807266819082821,0.648540389013236,0.0744111400827916,0.502694554450964,0.794386223575507
"result.4","4",0.686,0.619915018283667,0.0732791232949459,0.476287936625574,0.763542099941761,0.644165059625257,0.0719881445439094,0.503068296319195,0.78526182293132
"result.5","5",0.686,0.771116094984397,0.0848514685580025,0.604807216610712,0.937424973358082,0.837502681598033,0.0883837788250738,0.664270475100888,1.01073488809518
"result.6","6",0.686,0.566879754955356,0.0711092471279083,0.427505630584656,0.706253879326056,0.629727686049444,0.072987733370994,0.486671728642295,0.772783643456592
"result.7","7",0.686,0.646113677236451,0.0705978088858168,0.50774197182025,0.784485382652652,0.673091514908656,0.0747062487552107,0.526667267348443,0.819515762468869
"result.8","8",0.686,0.629183258103856,0.0710884990861079,0.489849799895085,0.768516716312628,0.679286965418352,0.0727046011143067,0.536785947234311,0.821787983602393
"result.9","9",0.686,0.487904256578411,0.0630112789381689,0.3644021498596,0.611406363297222,0.50453123438727,0.063808658361852,0.37946626399804,0.6295962047765
"result.10","10",0.686,0.697512562254275,0.0772382209536243,0.546125649185172,0.848899475323379,0.706882454438437,0.0759860521342317,0.557949792255343,0.855815116621532
"result.11","11",0.686,0.913964997975322,0.0856988495315469,0.745995252893491,1.08193474305715,0.960761911807719,0.0897914134368055,0.78477074147158,1.13675308214386
"result.12","12",0.686,0.593946940046736,0.0695071099797036,0.457713004486517,0.730180875606955,0.5924327942377,0.0709456747532945,0.453379271721243,0.731486316754157
"result.13","13",0.686,0.732914122812723,0.0781924389832936,0.579656942405467,0.886171303219979,0.766635810284339,0.0793940306357396,0.611023510238289,0.922248110330388
"result.14","14",0.686,0.662852333267067,0.0750959385401979,0.51566429372828,0.810040372805855,0.725472988928791,0.0778280863335725,0.572929939714988,0.878016038142593
"result.15","15",0.686,0.784560617772757,0.0851817010589207,0.617604483697273,0.951516751848242,0.833701515748632,0.0871826963077089,0.662823430985523,1.00457960051174
"result.16","16",0.686,0.854230756341652,0.0885373746662881,0.680697501995728,1.02776401068758,0.924585248790981,0.104266072474518,0.720223746740926,1.12894675084104
"result.17","17",0.686,0.800954150286991,0.0808064357235237,0.642573536268885,0.959334764305098,0.803938927026206,0.0817853194542988,0.64363970089578,0.964238153156632
"result.18","18",0.686,0.749781103492648,0.0807754568462429,0.591461208074012,0.908100998911284,0.787367738773823,0.0775081298645249,0.635451804239355,0.939283673308292
"result.19","19",0.686,0.596815781683128,0.0770012316642737,0.445893367621151,0.747738195745104,0.660860715295398,0.0756254471009427,0.51263483897755,0.809086591613246
"result.20","20",0.686,0.707961552252775,0.0743514771116833,0.562232657113876,0.853690447391674,0.702601788689636,0.0767353007819931,0.55220059915693,0.853002978222343
"result.21","21",0.686,0.696761444690416,0.0746335211761307,0.5504797431852,0.843043146195632,0.708862250169894,0.0774850152693208,0.556991620242025,0.860732880097763
"result.22","22",0.686,0.505212523375571,0.0691318377651763,0.369714121355825,0.640710925395316,0.500135815206489,0.0667029616559799,0.369398010360769,0.63087362005221
"result.23","23",0.686,0.70166820395265,0.080371055133368,0.544140935891249,0.859195472014051,0.707576513626498,0.0810714407191719,0.548676489816921,0.866476537436075
"result.24","24",0.686,0.721543888838216,0.0792160342336132,0.566280461740334,0.876807315936098,0.738647586492799,0.0799769073662516,0.581892848054946,0.895402324930652
"result.25","25",0.686,0.632747164365791,0.078341179746812,0.47919845206204,0.786295876669542,0.677047124346112,0.0755508274293681,0.528967502584551,0.825126746107674
"result.26","26",0.686,0.776912663467853,0.088815423737603,0.602834432942151,0.950990893993555,0.79895070804127,0.0867507111166834,0.628919314252571,0.96898210182997
"result.27","27",0.686,0.62954467188632,0.0776685424252951,0.477314328732741,0.781775015039898,0.617866053952657,0.0739911027020961,0.472843492656549,0.762888615248766
"result.28","28",0.686,0.591525024695132,0.07518865467697,0.444155261528271,0.738894787861993,0.599145618085585,0.0736451222872071,0.454801178402659,0.743490057768511
"result.29","29",0.686,0.772892583405292,0.0752740158721087,0.625355512295959,0.920429654514625,0.782472879620566,0.0802787385284145,0.625126552104874,0.939819207136259
"result.30","30",0.686,0.679597426659324,0.0803625757827254,0.522086778125182,0.837108075193465,0.776560786728526,0.08663009714052,0.606765796333107,0.946355777123945
"result.31","31",0.686,0.594514035534066,0.0699032684737649,0.457503629325486,0.731524441742645,0.63394238574234,0.0730699060117461,0.490725369959318,0.777159401525363
"result.32","32",0.686,0.703481405357884,0.0787963063304526,0.549040644950196,0.857922165765571,0.78228062394907,0.0835492062355783,0.618524179727337,0.946037068170804
"result.33","33",0.686,0.725689530109904,0.0782476282763281,0.572324178688301,0.879054881531507,0.771909466723306,0.0816888122594143,0.611799394694854,0.932019538751758
"result.34","34",0.686,0.826717097274482,0.0822065432492504,0.665592272505951,0.987841922043013,0.868856157425019,0.0856345431340699,0.701012452882243,1.0366998619678
"result.35","35",0.686,0.806344856205084,0.0818734436361941,0.645872906678143,0.966816805732024,0.822976648309634,0.0822589912458928,0.661749025467684,0.984204271151584
"result.36","36",0.686,0.851807270279206,0.0880522249391835,0.679224909398407,1.02438963116001,0.911695303446795,0.0859357688877402,0.743261196426824,1.08012941046677
"result.37","37",0.686,0.689591026115525,0.0806663440662581,0.53148499174566,0.847697060485391,0.704769932662481,0.0786776048181242,0.550561827218958,0.858978038106005
