"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.86","86",0.686,0.636677688237179,0.0418481336571541,0.554655346269157,0.718700030205201,0.636424932986557,0.0425299452200183,0.553066240355321,0.719783625617793
"result.87","87",0.686,0.684540695013606,0.0426820645543989,0.600883848486984,0.768197541540228,0.681693669940597,0.0422192337619993,0.598943971767078,0.764443368114115
"result.88","88",0.686,0.645033732913347,0.0437119941046187,0.559358224468294,0.7307092413584,0.654018044282745,0.0432456504067055,0.569256569485602,0.738779519079888
"result.89","89",0.686,0.735557152931083,0.0461445399036734,0.645113854719883,0.826000451142282,0.738519326196246,0.0462856733196612,0.64779940648971,0.829239245902782
"result.90","90",0.686,0.704089818036382,0.0446567714805402,0.616562545934523,0.791617090138241,0.697939633194736,0.0452109502538025,0.609326170697283,0.786553095692188
"result.91","91",0.686,0.759065066451603,0.0476192685207931,0.665731300150848,0.852398832752358,0.743322070561936,0.0459855434792663,0.653190405342574,0.833453735781298
"result.92","92",0.686,0.731451220226894,0.0439425423977666,0.645323837127272,0.817578603326517,0.72838580223537,0.0438530854973193,0.642433754660624,0.814337849810116
"result.93","93",0.686,0.650008747200893,0.0416852103364549,0.568305734941442,0.731711759460345,0.644548551304945,0.0414816725898812,0.563244473028778,0.725852629581112
"result.94","94",0.686,0.714688824164991,0.0455925118633077,0.625327500912908,0.804050147417074,0.709223721802262,0.0446541324067413,0.621701622285049,0.796745821319475
"result.95","95",0.686,0.741093843054221,0.0460611186203626,0.65081405055831,0.831373635550132,0.723587788442699,0.0448137016069952,0.635752933292988,0.811422643592409
"result.96","96",0.686,0.658855278654671,0.0433953159249883,0.573800459441694,0.743910097867649,0.641326194278226,0.0423108346222681,0.558396958418581,0.724255430137872
"result.97","97",0.686,0.738307465706516,0.0466249991077204,0.646922467455384,0.829692463957648,0.722844991516241,0.0451166264868067,0.6344164036021,0.811273579430382
"result.98","98",0.686,0.772062900880964,0.0477880836406786,0.678398256945234,0.865727544816694,0.765211998784767,0.0463268848124735,0.674411304552319,0.856012693017215
"result.99","99",0.686,0.726297207458839,0.0453604082634409,0.637390807262495,0.815203607655183,0.723999069314621,0.0450676269585086,0.635666520475944,0.812331618153298
"result.100","100",0.686,0.674268606153294,0.0448700376731358,0.586323332313948,0.76221387999264,0.674390570587211,0.0439515005962887,0.588245629418485,0.760535511755936
"result.101","101",0.686,0.742216257039616,0.0474472968927767,0.649219555129774,0.835212958949459,0.744651796801255,0.0465103566310126,0.65349149780447,0.83581209579804
"result.102","102",0.686,0.68755804721617,0.0454203129549374,0.598534233824493,0.776581860607848,0.702989753513678,0.044356637859532,0.616050743308996,0.789928763718361
