"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","sshal","sshal_se","sshal_lower","sshal_upper"
"result.39","39",0.686,0.807530380381317,0.170519218487866,0.473312712145099,1.14174804861753,0.828163108575093,0.160351011760824,0.513875125523877,1.14245109162631,0.71157194816761,0,0,0,0
"result.40","40",0.686,0.846905830142263,0.179693508997713,0.494706552506745,1.19910510777778,0.869320191422623,0.170775589760179,0.534600035492672,1.20404034735257,0.758582214902948,0,0,0,0
"result.41","41",0.686,0.526245135522695,0.124184888493873,0.282842754074703,0.769647516970686,0.537350286304089,0.116125630794794,0.309744049946293,0.764956522661886,0.455799370469565,0,0,0,0
"result.42","42",0.686,0.571202385319641,0.135269685924897,0.306073800906841,0.83633096973244,0.586609499331609,0.12714176539036,0.337411639166503,0.835807359496715,0.500614491182707,0,0,0,0
"result.43","43",0.686,0.847109465760106,0.168529024774537,0.516792577202014,1.1774263543182,0.861143217534306,0.153589235403558,0.560108316143333,1.16217811892528,0.69649455664309,0,0,0,0
"result.44","44",0.686,0.778585908319964,0.154002291638158,0.476741416709174,1.08043039993075,0.795947721524108,0.144364162290741,0.512993963434256,1.07890147961396,0.681406070056475,0,0,0,0
"result.45","45",0.686,0.548176674693142,0.124876371096032,0.303418987344919,0.792934362041365,0.565764569189377,0.120789591327655,0.329016970187173,0.802512168191582,0.511736163973509,0,0,0,0
"result.46","46",0.686,1.00746181676791,0.175280683423616,0.663911677257622,1.3510119562782,1.03016771459382,0.168288504051517,0.70032224665285,1.3600131825348,0.920493161933699,0,0,0,0
"result.47","47",0.686,0.397375889208704,0.114773764557872,0.172419310675274,0.622332467742134,0.410812497165438,0.105933577886887,0.203182684507139,0.618442309823737,0.336564298297354,0,0,0,0
"result.48","48",0.686,0.440352906943192,0.10994803159318,0.224854765020559,0.655851048865825,0.454489939889434,0.10444882910387,0.249770234845849,0.659209644933019,0.397474277808602,0,0,0,0
"result.49","49",0.686,0.95307075282962,0.157381023415732,0.644603946934785,1.26153755872445,0.967486731245959,0.148444527035468,0.676535458256442,1.25843800423548,0.829692319485551,0,0,0,0
"result.50","50",0.686,0.426214598858623,0.110998086958072,0.208658348420802,0.643770849296445,0.439027057366213,0.103803905633403,0.235571402324742,0.642482712407683,0.368832040324493,0,0,0,0
"result.51","51",0.686,0.824611949075795,0.169465296372723,0.492459968185258,1.15676392996633,0.844688906998932,0.160947143822587,0.529232505106662,1.1601453088912,0.732925404996508,0,0,0,0
"result.52","52",0.686,0.625388765234709,0.1279334659212,0.374639172029158,0.87613835844026,0.644053644784824,0.123632273790836,0.401734388154785,0.886372901414864,0.584095338863578,0,0,0,0
"result.53","53",0.686,0.651064902756019,0.141896745624821,0.37294728133137,0.929182524180667,0.670300790506033,0.1357141909847,0.40430097617602,0.936300604836045,0.594795652268031,0,0,0,0
"result.54","54",0.686,0.610220638459843,0.139494125312194,0.336812152847943,0.883629124071742,0.627755177965224,0.133149955680667,0.366781264831117,0.888729091099332,0.553188015500478,0,0,0,0
"result.55","55",0.686,0.80336941536418,0.153130382001146,0.503233866641933,1.10350496408643,0.822254398746169,0.146038778492452,0.536018392900962,1.10849040459138,0.722613852617646,0,0,0,0
"result.56","56",0.686,0.505167530315443,0.129158243832915,0.252017372402929,0.758317688227956,0.512705833319626,0.113513360032213,0.290219647656488,0.735192018982764,0.384893602290171,0,0,0,0
"result.57","57",0.686,0.792296253867427,0.153728153206849,0.490989073582003,1.09360343415285,0.807367870733479,0.143457974657111,0.52619024040554,1.08854550106142,0.680582851431196,0,0,0,0
"result.58","58",0.686,0.814123760999388,0.179087921997671,0.463111433883952,1.16513608811482,0.835333417618766,0.168962357343406,0.50416719722569,1.16649963801184,0.719700437561389,0,0,0,0
"result.59","59",0.686,0.527156387122884,0.125819054298264,0.280551040698286,0.773761733547481,0.540924494912754,0.116663693550466,0.31226365555384,0.769585334271667,0.448106057207198,0,0,0,0
"result.60","60",0.686,1.02737504136774,0.191669547505643,0.651702728256682,1.4030473544788,1.05375350681445,0.184456039830102,0.692219668747453,1.41528734488145,0.943892750373269,0,0,0,0
"result.61","61",0.686,0.629173551158353,0.150953579046599,0.333304536227019,0.925042566089687,0.642428099145619,0.138164899055483,0.371624896996871,0.913231301294366,0.520166630792178,0,0,0,0
"result.62","62",0.686,0.628490323693225,0.131740666836193,0.370278616694287,0.886702030692163,0.646661500292971,0.125974373789248,0.399751727666046,0.893571272919897,0.570314940173787,0,0,0,0
"result.63","63",0.686,0.83193762831932,0.158554387201613,0.521171029404158,1.14270422723448,0.844446064891473,0.146500997624372,0.557304109547705,1.13158802023524,0.703310426723119,0,0,0,0
"result.64","64",0.686,0.597512459538329,0.142255012289365,0.318692635451173,0.876332283625485,0.615650434521479,0.135659547704691,0.349757721020285,0.881543148022674,0.541168986933502,0,0,0,0
"result.65","65",0.686,0.626797400683136,0.136765238567745,0.358737533090356,0.894857268275915,0.642980619176418,0.129144695717674,0.389857015569777,0.896104222783059,0.555509359016046,0,0,0,0
"result.66","66",0.686,0.635781155712684,0.132833931391422,0.375426650185498,0.896135661239871,0.64665085585932,0.120746434557456,0.409987844126706,0.883313867591935,0.521145938856811,0,0,0,0
"result.67","67",0.686,0.601864530257224,0.145148100368645,0.317374253534679,0.886354806979769,0.616231753259808,0.133907129926508,0.353773778603853,0.878689727915763,0.508373763498041,0,0,0,0
"result.68","68",0.686,0.992800543283668,0.183957319151138,0.632244197747438,1.3533568888199,1.01087705964582,0.170266958170287,0.677153821632062,1.34460029765958,0.841415069278742,0,0,0,0
"result.69","69",0.686,0.544828009625442,0.126418234029165,0.297048270928278,0.792607748322606,0.557255967638166,0.115591252546939,0.330697112646166,0.783814822630166,0.452950873581149,0,0,0,0
"result.70","70",0.686,0.636721647151474,0.134244831090092,0.373601778214893,0.899841516088054,0.65103339833675,0.124705118047314,0.406611366964014,0.895455429709486,0.545405226924749,0,0,0,0
"result.71","71",0.686,0.879467478821575,0.165481238787131,0.555124250798797,1.20381070684435,0.884631038695383,0.146769561650384,0.596962697860631,1.17229937953013,0.680330757324046,0,0,0,0
"result.72","72",0.686,0.959712360142132,0.179336831918371,0.608212169582126,1.31121255070214,0.985887466903356,0.17450779532169,0.643852188072843,1.32792274573387,0.904723239795293,0,0,0,0
"result.73","73",0.686,0.598063582335491,0.145873929441657,0.312150680629843,0.883976484041139,0.617503116896433,0.13894411055962,0.345172660199578,0.889833573593289,0.536923048177638,0,0,0,0
"result.74","74",0.686,0.57475988974048,0.138373799458591,0.303547242801642,0.845972536679318,0.588815874289252,0.128540268693792,0.33687694764942,0.840754800929084,0.491143098670125,0,0,0,0
"result.75","75",0.686,0.610290050052691,0.124743659617321,0.365792477202742,0.85478762290264,0.619855390047813,0.113804856946112,0.396797870433434,0.842912909662192,0.500706892878756,0,0,0,0
"result.76","76",0.686,0.725742556513495,0.158427182156707,0.415225279486349,1.03625983354064,0.743517028852918,0.147404108575661,0.454604976044623,1.03242908166121,0.624797740008468,0,0,0,0
"result.77","77",0.686,0.654814116990259,0.143506308380511,0.373541752564458,0.936086481416059,0.664571367084722,0.129128648119911,0.411479216769697,0.917663517399747,0.52435695971819,0,0,0,0
"result.78","78",0.686,0.88791907936941,0.171088180618041,0.55258624535805,1.22325191338077,0.904457335742121,0.15836114281694,0.594069495820918,1.21484517566332,0.756215097496618,0,0,0,0
"result.79","79",0.686,0.888121548914226,0.159754919794836,0.575001906116347,1.2012411917121,0.906910206398905,0.152710663075084,0.607597306771741,1.20622310602607,0.808412950518194,0,0,0,0
"result.80","80",0.686,0.704653132055596,0.150933533801842,0.408823405803986,1.0004828583072,0.72169216507244,0.141464423901945,0.444421894224629,0.998962435920252,0.613154705010204,0,0,0,0
"result.81","81",0.686,0.711678073326074,0.144546627123824,0.428366684163378,0.99498946248877,0.726869369712132,0.135373082299237,0.461538128405627,0.992200611018637,0.617555944980499,0,0,0,0
"result.82","82",0.686,0.714205456417651,0.155687423140627,0.409058107062021,1.01935280577328,0.723110518933663,0.139297102783763,0.450088197477486,0.996132840389839,0.565247834116309,0,0,0,0
"result.83","83",0.686,0.664953561016324,0.148910498582316,0.373088983794984,0.956818138237664,0.683146915844209,0.1401633615936,0.408426727120753,0.957867104567664,0.584978247036208,0,0,0,0
"result.84","84",0.686,0.698744971250306,0.148880571768666,0.406939050583721,0.990550891916891,0.71710242774384,0.140489724747733,0.441742567238284,0.992462288249397,0.619463383851806,0,0,0,0
"result.85","85",0.686,0.540450932538643,0.136917823529504,0.272091998420815,0.808809866656471,0.554156496800788,0.124579278255865,0.309981111419293,0.798331882182283,0.444519026373113,0,0,0,0
"result.86","86",0.686,0.900202543906462,0.16375957412227,0.579233778626813,1.22117130918611,0.923833134656127,0.15892366563105,0.612342750019269,1.23532351929299,0.845075881045474,0,0,0,0
"result.87","87",0.686,0.667748450603895,0.139855985512883,0.393630718998645,0.941866182209146,0.683138449683157,0.132055035131741,0.424310580824945,0.941966318541369,0.590720306443681,0,0,0,0
"result.88","88",0.686,0.767042721451561,0.160893829055656,0.451690816502475,1.08239462640065,0.785981888018258,0.15158542719735,0.488874450711452,1.08308932532506,0.67343488750612,0,0,0,0
"result.89","89",0.686,0.619985557885681,0.144786717931959,0.336203590739041,0.90376752503232,0.63865655740454,0.138556461994184,0.367085891895939,0.910227222913141,0.563841053949309,0,0,0,0
"result.90","90",0.686,0.737047355042358,0.142321076241397,0.45809804560922,1.0159966644755,0.753999276464393,0.134322795773993,0.490726596747367,1.01727195618142,0.652214202453357,0,0,0,0
"result.91","91",0.686,0.703336094402714,0.152089220866895,0.405241221503601,1.00143096730183,0.725469783146212,0.146895789948105,0.437554034847925,1.0133855314445,0.654182061945137,0,0,0,0
"result.92","92",0.686,0.694540318033504,0.145651188842427,0.409063987902348,0.98001664816466,0.708501536137336,0.134966120006525,0.443967940924547,0.973035131350125,0.591457681721691,0,0,0,0
"result.93","93",0.686,1.05550567355446,0.200870170663454,0.661800139054092,1.44921120805483,1.0787997229888,0.190131421221181,0.706142137395286,1.45145730858232,0.927707220133604,0,0,0,0
"result.94","94",0.686,0.904844439066643,0.17012193165904,0.571405453014924,1.23828342511836,0.923907151615687,0.15938722889972,0.611508182972236,1.23630612025914,0.786628752613282,0,0,0,0
"result.95","95",0.686,0.741412489935967,0.155035385745472,0.437543133874842,1.04528184599709,0.75670280099031,0.147057851927995,0.46846941121144,1.04493619076918,0.657944770633578,0,0,0,0
"result.96","96",0.686,0.92144579551667,0.170112830345248,0.588024648039984,1.25486694299336,0.943746889988124,0.16428207022655,0.621754032344086,1.26573974763216,0.85666075218837,0,0,0,0
"result.97","97",0.686,0.759647034088231,0.158511843119972,0.448963821573084,1.07033024660338,0.779150016484122,0.1501524047269,0.484851303219398,1.07344872974885,0.676134088472518,0,0,0,0
"result.98","98",0.686,0.537592945889327,0.136208535489473,0.27062421632996,0.804561675448694,0.553730986356944,0.128210457792113,0.302438489084403,0.805023483629485,0.473075261460825,0,0,0,0
"result.99","99",0.686,1.00685623030584,0.182846032057624,0.648478007472892,1.36523445313878,1.03158702100737,0.17813501557782,0.682442390474839,1.38073165153989,0.94994043623505,0,0,0,0
"result.100","100",0.686,0.733572203104677,0.149694290330162,0.440171394057559,1.0269730121518,0.744972494596159,0.136737465681195,0.476967061861017,1.0129779273313,0.602986546837049,0,0,0,0
"result.101","101",0.686,0.561254137334572,0.130164500511941,0.306131716331168,0.816376558337976,0.574039122468842,0.11961787799273,0.339588081603092,0.808490163334593,0.469943547369679,0,0,0,0
"result.102","102",0.686,0.686969969678709,0.159685629587963,0.373986135686302,0.999953803671117,0.695171629867068,0.140313949377957,0.420156289086272,0.970186970647863,0.523576808184206,0,0,0,0
"result.103","103",0.686,0.49435727468421,0.126257917313634,0.246891756749488,0.741822792618932,0.506802209678402,0.114571120008852,0.282242814461052,0.731361604895752,0.404832988398584,0,0,0,0
"result.104","104",0.686,0.494531766910328,0.116381171897448,0.26642466999133,0.722638863829325,0.504881604180728,0.106382598799077,0.296371710534537,0.713391497826918,0.411605907685721,0,0,0,0
"result.105","105",0.686,0.444737606822821,0.111713390700823,0.225779361049209,0.663695852596434,0.450061951827632,0.0972939552791773,0.259365799480445,0.64075810417482,0.333663957989108,0,0,0,0
"result.106","106",0.686,0.701512953980672,0.159509990559878,0.388873372483311,1.01415253547803,0.721954243776743,0.150821196303454,0.426344699021974,1.01756378853151,0.622907689002179,0,0,0,0
"result.107","107",0.686,1.02417671141887,0.180492079317598,0.670412235956382,1.37794118688137,1.03973208191613,0.167084530552216,0.712246402033789,1.36721776179847,0.864649290646772,0,0,0,0
