"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.305","305",0.686,0.678549895774038,0.0353127018156272,0.609337000215409,0.747762791332667,0.680872831967629,0.0356542371567527,0.610990527140394,0.750755136794864
"result.306","306",0.686,0.684055421166973,0.0340849522995477,0.61724891465986,0.750861927674087,0.67141637559678,0.0341985699157008,0.604387178562006,0.738445572631554
"result.307","307",0.686,0.685956971227775,0.0338376233702472,0.619635229422091,0.75227871303346,0.67146175683267,0.0333608531636316,0.606074484631952,0.736849029033388
"result.308","308",0.686,0.739704319322019,0.0359429379047508,0.669256161028707,0.81015247761533,0.739962364374672,0.0359548750568506,0.669490809263245,0.810433919486099
"result.309","309",0.686,0.624455005635809,0.0325520719927212,0.560652944530075,0.688257066741542,0.612926686748092,0.0323883730495937,0.549445475570889,0.676407897925296
"result.310","310",0.686,0.622651902712134,0.0339168573298607,0.556174862345607,0.689128943078661,0.614740225266739,0.0338903987989938,0.548315043620711,0.681165406912767
"result.311","311",0.686,0.760046455616337,0.036304501664254,0.6888896323544,0.831203278878275,0.75219746231639,0.0360362674158258,0.681566378181372,0.822828546451409
"result.312","312",0.686,0.704847345307359,0.0365388052708899,0.633231286976414,0.776463403638303,0.702593023330644,0.0361697860107988,0.631700242749479,0.77348580391181
"result.313","313",0.686,0.692897610685385,0.0348331428866008,0.624624650627647,0.761170570743122,0.689780103065147,0.0350083494182146,0.621163738205446,0.758396467924847
"result.314","314",0.686,0.68170489691561,0.0352840916829113,0.612548077217104,0.750861716614116,0.679668396661937,0.035375659440279,0.61033210415899,0.749004689164884
"result.315","315",0.686,0.688836739796374,0.0350301845526847,0.620177578073112,0.757495901519636,0.686830301414238,0.0352744970933937,0.617692287111187,0.75596831571729
"result.316","316",0.686,0.622509609783607,0.0325279877102729,0.558754753871472,0.686264465695742,0.612225072159246,0.032695652717168,0.548141592833597,0.676308551484895
"result.317","317",0.686,0.683551603083866,0.0355933977196954,0.613788543553263,0.753314662614469,0.688291447955544,0.0356622766888592,0.61839338564538,0.758189510265708
"result.318","318",0.686,0.728509940186478,0.0363545316292631,0.657255058193122,0.799764822179833,0.725695134155489,0.0367815471916632,0.653603301659829,0.797786966651149
"result.319","319",0.686,0.631692265373801,0.0340180480267458,0.565016891241379,0.698367639506222,0.616987486041783,0.0336968739183287,0.550941613161859,0.683033358921707
"result.320","320",0.686,0.674402573901838,0.0346636051968374,0.606461907716037,0.742343240087639,0.665271004773582,0.0345256872503258,0.597600657762944,0.732941351784221
"result.321","321",0.686,0.723487027779838,0.035209147941948,0.65447709781362,0.792496957746056,0.721324651489959,0.0350769841007397,0.652573762652509,0.790075540327408
"result.322","322",0.686,0.717614733605516,0.0362947093467167,0.646477103285952,0.788752363925081,0.710424109974563,0.0360973608682499,0.639673282672793,0.781174937276332
"result.323","323",0.686,0.611693421929252,0.0327239343761533,0.547554510551991,0.675832333306512,0.608499343148011,0.0327120675259489,0.544383690797152,0.672614995498871
"result.324","324",0.686,0.689853380452057,0.03434961304974,0.622528138874566,0.757178622029547,0.686034340060755,0.034057269273369,0.619282092284952,0.752786587836558
"result.325","325",0.686,0.707022918686233,0.0357523917616336,0.636948230833431,0.777097606539035,0.700597148052192,0.0356654522647399,0.630692861613302,0.770501434491082
"result.326","326",0.686,0.71116717854856,0.0357646023644221,0.641068557914292,0.781265799182827,0.707188013637387,0.0355609037339561,0.637488642318833,0.776887384955941
"result.327","327",0.686,0.651206621394216,0.0342788723654028,0.584020031558027,0.718393211230405,0.648232553085525,0.0340812952378766,0.581433214419287,0.715031891751764
"result.328","328",0.686,0.653784266843112,0.0332094570245473,0.588693731074999,0.718874802611224,0.644688481705813,0.0333453805818613,0.579331535765365,0.710045427646261
"result.329","329",0.686,0.7536857425556,0.0369286593690951,0.681305570192173,0.826065914919026,0.744956107881288,0.0367194357417905,0.672986013827379,0.816926201935197
"result.330","330",0.686,0.642684370558923,0.033886840481889,0.57626616321442,0.709102577903425,0.639822120103309,0.0341056022776277,0.572975139639158,0.706669100567459
"result.331","331",0.686,0.654852907239249,0.0355217683594396,0.585230241254748,0.724475573223751,0.647359900954274,0.0350203566905759,0.578720001840745,0.715999800067803
"result.332","332",0.686,0.719206551905412,0.0345723038278539,0.651444836402819,0.786968267408006,0.711192597475895,0.0345930548204867,0.643390210027741,0.778994984924049
"result.333","333",0.686,0.692579153201322,0.0352785389132291,0.623433216931393,0.761725089471251,0.692992763389139,0.0352855919404737,0.62383300318581,0.762152523592467
"result.334","334",0.686,0.636248516217248,0.0341167728428379,0.569379641445286,0.703117390989211,0.627635871118062,0.0339613509196308,0.561071623315586,0.694200118920538
"result.335","335",0.686,0.623955108546725,0.0320850675541312,0.561068376140628,0.686841840952822,0.620323277705566,0.0319587052368095,0.557684215441419,0.682962339969712
"result.336","336",0.686,0.714601406461078,0.0358921305652475,0.644252830553192,0.784949982368963,0.711660284897738,0.0355997347475689,0.641884804792503,0.781435765002973
"result.337","337",0.686,0.648220390318149,0.0335834201253985,0.582396886872368,0.714043893763931,0.64639400391279,0.0334936940313169,0.580746363611409,0.712041644214171
"result.338","338",0.686,0.70176618440984,0.035400497500835,0.632381209308203,0.771151159511476,0.694922938476783,0.0353552057560383,0.625626735194948,0.764219141758618
"result.339","339",0.686,0.76990778353362,0.0371989395253162,0.696997862064,0.84281770500324,0.763263039809093,0.0371204578119931,0.690506942497586,0.836019137120599
"result.340","340",0.686,0.659993899821616,0.0336595843585051,0.594021114478946,0.725966685164286,0.652334226121011,0.0336947311457224,0.586292553075395,0.718375899166627
"result.341","341",0.686,0.692697777681766,0.0358748740622025,0.622383024519849,0.763012530843683,0.682744895105941,0.0357960505959892,0.612584635937802,0.75290515427408
"result.342","342",0.686,0.766499354989606,0.0361986116366542,0.695550076181764,0.837448633797448,0.753601880912396,0.0359840876317335,0.683073069154198,0.824130692670593
"result.343","343",0.686,0.703340456760141,0.0360168840562099,0.63274736400997,0.773933549510313,0.697263736190816,0.0357663984844183,0.627161595161356,0.767365877220275
"result.344","344",0.686,0.686819035576756,0.0334074545417914,0.621340424674845,0.752297646478667,0.677211696951972,0.0332770098262552,0.611988757692512,0.742434636211432
