"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper","ss","ss_se","ss_lower","ss_upper","sshal","sshal_se","sshal_lower","sshal_upper"
"result.1","1",0.685,0.696931514341038,0.0348748396813358,0.62857682856562,0.765286200116457,0.712343459450109,0.0349686050243653,0.643804993602353,0.780881925297865,0.701773397937408,0.0351735262856801,0.632833286417475,0.770713509457341,0,0,0,0
"result.2","2",0.685,0.721678325613291,0.0350281779045233,0.653023096920426,0.790333554306157,0.725306925782171,0.0345767602177337,0.657536475755413,0.793077375808929,0.704391555363847,0.0344966492341822,0.63677812286485,0.772004987862844,0,0,0,0
"result.3","3",0.685,0.672811426136369,0.033798554046814,0.606566260204613,0.739056592068124,0.674979202351388,0.0334525241798241,0.609412254958932,0.740546149743843,0.658864632179851,0.0334055898159637,0.593389676140562,0.72433958821914,0,0,0,0
"result.4","4",0.685,0.65650148516408,0.0330494705024509,0.591724522979276,0.721278447348883,0.662307584225993,0.0330509288628874,0.597527763654733,0.727087404797252,0.655141795227786,0.0331028073795949,0.590260292763781,0.720023297691792,0,0,0,0
"result.5","5",0.685,0.668981990180584,0.0336172340804794,0.603092211382844,0.734871768978323,0.67596622284024,0.0335266043059224,0.610254078400632,0.741678367279848,0.661902106085807,0.0336498140569989,0.595948470534089,0.727855741637525,0,0,0,0
"result.6","6",0.685,0.692057646577098,0.0345415520497162,0.624356204559654,0.759759088594541,0.700487548293293,0.0343754781757478,0.633111611068827,0.767863485517758,0.687141946691273,0.0344374255725473,0.619644592569081,0.754639300813466,0,0,0,0
"result.7","7",0.685,0.722811735531859,0.0350462216406192,0.654121141116246,0.791502329947473,0.728906012702749,0.0348732725123182,0.660554398578606,0.797257626826893,0.716182155031424,0.0349010378403613,0.647776120864316,0.784588189198533,0,0,0,0
"result.8","8",0.685,0.663077910972743,0.0331372762582589,0.598128849506556,0.728026972438931,0.665605487506586,0.0327662078748165,0.601383720071946,0.729827254941226,0.648501083848886,0.0327168664486801,0.584376025609473,0.712626142088299,0,0,0,0
"result.9","9",0.685,0.699767701002906,0.0345626074724942,0.632024990356817,0.767510411648995,0.701934529344206,0.0341682621307328,0.634964735567969,0.768904323120442,0.684317099248191,0.0341145353773562,0.617452609908573,0.751181588587809,0,0,0,0
"result.10","10",0.685,0.67314262384807,0.033972352155836,0.606556813622631,0.739728434073508,0.676802487514692,0.0337306436987378,0.610690425865166,0.742914549164218,0.664356760667165,0.0337080516434251,0.598288979446052,0.730424541888278,0,0,0,0
"result.11","11",0.685,0.64295825283297,0.0328687079711704,0.578535585209476,0.707380920456465,0.648511188365157,0.0325292562117087,0.584753846190208,0.712268530540106,0.631209496285895,0.032556197945172,0.567399348313358,0.695019644258432,0,0,0,0
"result.12","12",0.685,0.653379683267663,0.0332831834368901,0.588144643731358,0.718614722803967,0.65878270334776,0.0331035528224872,0.593899739815685,0.723665666879835,0.645655576525176,0.0331003932615867,0.580778805732466,0.710532347317886,0,0,0,0
"result.13","13",0.685,0.631263624909305,0.0325268430491286,0.567511012533013,0.695016237285597,0.632954285074861,0.0323561044885356,0.569536320277331,0.696372249872391,0.623828424516651,0.0323259847952281,0.560469494318004,0.687187354715298,0,0,0,0
"result.14","14",0.685,0.717777373123581,0.0349135242782547,0.649346865538201,0.78620788070896,0.723282168001163,0.0347422151253384,0.6551874263555,0.791376909646827,0.710048615592799,0.0347248416195328,0.641987926018515,0.778109305167084,0,0,0,0
"result.15","15",0.685,0.662849456105306,0.0334318698428575,0.597322991213305,0.728375920997307,0.667116377005405,0.0331756729868046,0.602092057951268,0.732140696059542,0.650430319520817,0.033208269507156,0.585342111286792,0.715518527754843,0,0,0,0
"result.16","16",0.685,0.651376275547215,0.0335982427581107,0.585523719741318,0.717228831353112,0.656956769684674,0.0333215794249659,0.591646474011741,0.722267065357607,0.64011525715472,0.0333487605303401,0.574751686515253,0.705478827794186,0,0,0,0
"result.17","17",0.685,0.629337785911973,0.0326654094294899,0.565313583430173,0.693361988393773,0.637520993857272,0.0325174264718038,0.573786837972536,0.701255149742007,0.623313633265625,0.0325530500959803,0.559509655077503,0.687117611453746,0,0,0,0
"result.18","18",0.685,0.726525494815206,0.0350533187102069,0.6578209901432,0.795229999487211,0.732615058639764,0.034871982652947,0.664265972639988,0.80096414463954,0.71999592564954,0.0348892197839582,0.651613054872982,0.788378796426098,0,0,0,0
"result.19","19",0.685,0.720955457750041,0.0346951357526632,0.652952991674821,0.788957923825261,0.72513923694144,0.0343570618116876,0.657799395790532,0.792479078092348,0.706210608595201,0.0343280391582256,0.638927651845079,0.773493565345323,0,0,0,0
