"","i","truth","cvtmle","cvtmle_se","cvtmle_lower","cvtmle_upper","cvaiptw","cvaiptw_se","cvaiptw_lower","cvaiptw_upper"
"result.1","1",0.686,0.774275847667084,0.083420341112159,0.610771979087252,0.937779716246916,0.76252401082534,0.0822945702481286,0.601226653139008,0.923821368511672
"result.2","2",0.686,0.657365090164845,0.0771032606180666,0.506242699353434,0.808487480976255,0.684503246944171,0.0813562124756561,0.525045070491885,0.843961423396457
"result.3","3",0.686,0.676588129662405,0.07328906435483,0.532941563526938,0.820234695797872,0.68833630087857,0.0765745171988811,0.538250247168763,0.838422354588377
"result.4","4",0.686,0.611745667033904,0.0701465029319593,0.474258521287264,0.749232812780544,0.6285688780557,0.071263047731559,0.488893304501844,0.768244451609555
"result.5","5",0.686,0.664240798133266,0.0794972556161123,0.508426177125686,0.820055419140846,0.655807961684537,0.078439354513247,0.502066826838572,0.809549096530501
"result.6","6",0.686,0.673573405039458,0.0811526315700461,0.514514247162168,0.832632562916749,0.761762572478271,0.0904524459551799,0.584475778406118,0.939049366550423
"result.7","7",0.686,0.570852952806448,0.0692814491747532,0.435061312423932,0.706644593188964,0.588820013635734,0.0697405226002607,0.452128589339223,0.725511437932245
"result.8","8",0.686,0.645042466333576,0.0760294404481804,0.496024763055142,0.794060169612009,0.675475870144147,0.0764593010431796,0.525615640099515,0.825336100188779
"result.9","9",0.686,0.725086041677903,0.0776734355436269,0.572846108012394,0.877325975343412,0.729357402413134,0.0813801620259511,0.56985228484227,0.888862519983998
"result.10","10",0.686,0.74501568883914,0.0808265121437342,0.586595725037422,0.903435652640859,0.739891669575075,0.0800736255295932,0.582947363537073,0.896835975613078
"result.11","11",0.686,0.545524862187363,0.0686048599717156,0.4110593366428,0.679990387731925,0.564222864641223,0.0773446908332896,0.412627270607975,0.71581845867447
"result.12","12",0.686,0.666949727428197,0.0771690197429228,0.515698448732068,0.818201006124325,0.672099103544425,0.0752240259033567,0.524660012773846,0.819538194315005
"result.13","13",0.686,0.652981475930583,0.0734917538028376,0.508937638477021,0.797025313384145,0.716672224383805,0.076053135046615,0.56760807969244,0.865736369075171
"result.14","14",0.686,0.701925703208658,0.0768183780137359,0.551361682301735,0.85248972411558,0.717022839113436,0.0776142842357866,0.564898842011294,0.869146836215578
"result.15","15",0.686,0.693282352196964,0.0780400652136751,0.540323824378161,0.846240880015767,0.766443304785528,0.0841798486643531,0.601450801403396,0.93143580816766
"result.16","16",0.686,0.788767537480852,0.0855574924942927,0.621074852192039,0.956460222769666,0.786843864389311,0.0856381860757672,0.618993019680807,0.954694709097815
"result.17","17",0.686,0.753477306310584,0.0788589858042944,0.598913694134167,0.908040918487001,0.747982606382369,0.0795958195273536,0.591974800108756,0.903990412655982
"result.18","18",0.686,0.772175105733992,0.0862150767606656,0.603193555283087,0.941156656184897,0.762474694473603,0.0840598273344054,0.597717432898168,0.927231956049037
"result.19","19",0.686,0.743909029539494,0.0825807521725561,0.582050755281284,0.905767303797704,0.754901070611382,0.0856897904178937,0.586949081392311,0.922853059830454
"result.20","20",0.686,0.580513527579691,0.0706773368129303,0.441985947426348,0.719041107733034,0.638787953899015,0.0721812249231036,0.497312753049732,0.780263154748299
